s no.,sepal_length,sepal_width,petal_length,petal_width,B-E,MEAN,PRODUCT,,,,,
1,5.1,3.5,1.4,0.2,4.9,2.55,5.00,,,,,
2,4.9,3,1.4,0.2,4.7,2.38,4.12,,,,,
3,4.7,3.2,1.3,0.2,4.5,2.35,3.91,,,,,
4,4.6,3.1,1.5,0.2,4.4,2.35,4.28,,,,,
5,5,3.6,1.4,0.2,4.8,2.55,5.04,,,,,
6,5.4,3.9,1.7,0.4,5,2.85,14.32,,,,,
7,4.6,3.4,1.4,0.3,4.3,2.43,6.57,,,,,
8,5,3.4,1.5,0.2,4.8,2.53,5.10,,,,,
9,4.4,2.9,1.4,0.2,4.2,2.23,3.57,,,,,
10,4.9,3.1,1.5,0.1,4.8,2.40,2.28,,,,,
11,5.4,3.7,1.5,0.2,5.2,2.70,5.99,,,,,
12,4.8,3.4,1.6,0.2,4.6,2.50,5.22,,,,,
13,4.8,3,1.4,0.1,4.7,2.33,2.02,,,,,
14,4.3,3,1.1,0.1,4.2,2.13,1.42,,,,,
15,5.8,4,1.2,0.2,5.6,2.80,5.57,,,,,
16,5.7,4.4,1.5,0.4,5.3,3.00,15.05,,,,,
17,5.4,3.9,1.3,0.4,5,2.75,10.95,,,,,
18,5.1,3.5,1.4,0.3,4.8,2.58,7.50,,,,,
19,5.7,3.8,1.7,0.3,5.4,2.88,11.05,,,,,
20,5.1,3.8,1.5,0.3,4.8,2.68,8.72,,,,,
21,5.4,3.4,1.7,0.2,5.2,2.68,6.24,,,,,
22,5.1,3.7,1.5,0.4,4.7,2.68,11.32,,,,,
23,4.6,3.6,1,0.2,4.4,2.35,3.31,,,,,
24,5.1,3.3,1.7,0.5,4.6,2.65,14.31,,,,,
25,4.8,3.4,1.9,0.2,4.6,2.58,6.20,,,,,
26,5,3,1.6,0.2,4.8,2.45,4.80,,,,,
27,5,3.4,1.6,0.4,4.6,2.60,10.88,,,,,
28,5.2,3.5,1.5,0.2,5,2.60,5.46,,,,,
29,5.2,3.4,1.4,0.2,5,2.55,4.95,,,,,
30,4.7,3.2,1.6,0.2,4.5,2.43,4.81,,,,,
31,4.8,3.1,1.6,0.2,4.6,2.43,4.76,,,,,
32,5.4,3.4,1.5,0.4,5,2.68,11.02,,,,,
33,5.2,4.1,1.5,0.1,5.1,2.73,3.20,,,,,
34,5.5,4.2,1.4,0.2,5.3,2.83,6.47,,,,,
35,4.9,3.1,1.5,0.1,4.8,2.40,2.28,,,,,
36,5,3.2,1.2,0.2,4.8,2.40,3.84,,,,,
37,5.5,3.5,1.3,0.2,5.3,2.63,5.01,,,,,
38,4.9,3.1,1.5,0.1,4.8,2.40,2.28,,,,,
39,4.4,3,1.3,0.2,4.2,2.23,3.43,,,,,
40,5.1,3.4,1.5,0.2,4.9,2.55,5.20,,,,,
41,5,3.5,1.3,0.3,4.7,2.53,6.83,,,,,
42,4.5,2.3,1.3,0.3,4.2,2.10,4.04,,,,,
43,4.4,3.2,1.3,0.2,4.2,2.28,3.66,,,,,
44,5,3.5,1.6,0.6,4.4,2.68,16.80,,,,,
45,5.1,3.8,1.9,0.4,4.7,2.80,14.73,,,,,
46,4.8,3,1.4,0.3,4.5,2.38,6.05,,,,,
47,5.1,3.8,1.6,0.2,4.9,2.68,6.20,,,,,
48,4.6,3.2,1.4,0.2,4.4,2.35,4.12,,,,,
49,5.3,3.7,1.5,0.2,5.1,2.68,5.88,,,,,
50,5,3.3,1.4,0.2,4.8,2.48,4.62,,,,,
51,,,,,MAX=3.00,2.10,0.00,,,,,
52,7,3.2,4.7,1.4,5.6,4.08,147.39,,,,,
53,6.4,3.2,4.5,1.5,4.9,3.90,138.24,,,,,
54,6.9,3.1,4.9,1.5,5.4,4.10,157.22,,,,,
55,5.5,2.3,4,1.3,4.2,3.28,65.78,,,,,
56,6.5,2.8,4.6,1.5,5,3.85,125.58,,,,,
57,5.7,2.8,4.5,1.3,4.4,3.58,93.37,,,,,
58,6.3,3.3,4.7,1.6,4.7,3.98,156.34,,,,,
59,4.9,2.4,3.3,1,3.9,2.90,38.81,,,,,
60,6.6,2.9,4.6,1.3,5.3,3.85,114.46,,,,,
